Temp,Humidity,PM2.5,PM10
26.4,60.5,3.2,5.7
26.4,58.5,3.2,5.7
26.3,58.7,3.2,5.6
26.4,58.7,3.3,5.7
26.3,58.7,3.3,5.7
26.2,58.6,3.4,5.8
26.3,58.7,3.4,5.8
26.3,58.7,3.4,5.8
26.2,58.6,3.4,5.7
26.2,58.6,3.5,5.7
26.1,58.5,3.5,5.8
26,58.4,3.5,5.8
