lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
-0.8350951,0.10767702,11.533405,-23.4375,8.94375,-25.593752,-0.3167334,0.2075413,0.5173261,456,456,206
1.2107682,-0.6221339,10.100104,-23.56875,9.4875,-27.31875,0.085215636,0.54534954,0.26198465,521,521,206
-3.644269,-0.076570325,12.806387,-19.59375,9.75,-28.406252,-0.49388418,-0.6018545,-0.30001098,521,521,206
-0.3589234,-1.7706888,9.659825,-22.875,6.3562503,-28.81875,-0.011300999,0.42867437,-2.608469,647,647,206
-2.0865414,-0.79441714,10.315458,-23.71875,1.8937501,-29.175001,-0.2403753,0.56550807,-3.0470698,647,647,206
-1.6462619,0.062213387,9.930214,-22.44375,-3.35625,-30.54375,0.4725039,0.97173315,-2.6457317,647,647,206
-2.4837499,-1.713261,9.623933,-20.550001,-9.525001,-29.587502,0.11759147,-0.3434587,-1.8748204,751,751,206
-1.0313065,0.004785645,10.04507,-18.975,-13.9875,-29.456251,-0.035124727,0.4977021,-2.2957063,751,751,206
-0.9284152,-2.725425,10.382458,-14.55,-15.88125,-29.212502,-0.49632764,0.44211337,-2.1387138,789,789,206
-0.72741807,-2.821138,10.286744,-10.575001,-17.831251,-29.94375,0.67470014,-0.20051636,-3.1350343,789,789,206
-1.2035898,-1.7898313,10.576276,-4.7625003,-20.625,-28.593752,0.38515025,1.093906,-4.387307,733,733,206
-0.7537391,-1.174876,10.370493,6.80625,-21.35625,-25.48125,2.3979497,0.99250257,-4.3359947,733,733,206
-1.5672989,0.22492532,8.042277,18.46875,-19.143751,-19.875,0.93676114,0.27962336,-3.7880487,733,733,206
-3.347559,-1.847259,9.437292,24.750002,-13.368751,-17.493752,-0.75411254,-1.5523602,-0.20532693,418,418,206
-0.8853444,0.4019942,10.451849,23.94375,-10.556251,-19.800001,0.5042689,0.28451028,-1.1332306,380,380,206
-1.3256238,-0.40438703,9.473185,24.35625,-6.61875,-20.04375,-0.032070402,0.056046844,-3.190623,380,380,206
-1.2227324,-0.35413775,9.760324,25.575,2.7562501,-22.40625,0.17501275,-1.1540763,-3.7086365,417,417,206
-0.2727818,0.3589234,10.736595,21.375,11.64375,-24.431252,0.5073232,-1.0068579,-3.7477317,417,417,206
0.2847459,-0.02871387,10.102497,14.718751,17.643751,-27.525002,0.37781987,-0.33735007,-2.5522695,417,417,206
-0.53599226,0.83030945,10.109675,9.431251,20.587502,-27.54375,-0.097432934,0.24602579,-2.5467715,461,461,206
