Temp,Humidity,PM2.5,PM10
29.1,81,3.6,6.8
29,81,3.6,6.9
29,81.4,3.6,6.9
29,81.4,3.6,6.9
29,81.4,3.7,7.1
28.9,81.8,3.7,7.1
28.9,82,3.5,6.7
28.9,81.9,3.7,6.6
28.9,82,3.6,6.1
29,82.2,3.9,6.7
29.1,82.4,3.4,5.7
29.2,82.2,3.1,5.7
