Temp,Humidity,PM2.5,PM10
28.6,81,3.7,7.3
29.4,80,3.7,7.3
30.1,78,3.8,7.4
30.6,77.3,3.6,7.3
30.8,76.5,3.8,7.6
30.9,77.9,3.8,7.6
30.9,76.9,3.9,7.8
30.9,75.9,3.9,8.2
30.9,75.3,4,8.3
30.8,78.1,4,8.2
30.8,78.8,3.9,7.5
30.8,79.3,3.9,7.4
