lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
-0.41874397,-0.124426775,10.624132,9.675,-27.225,-24.31875,-1.7602068,0.9534072,0.36544985,561,561,206
-2.7637103,-4.0677986,9.47797,10.762501,-22.837502,-28.143751,-2.844492,1.4744749,0.17302746,561,561,206
-3.2685957,-5.15414,6.6687965,14.718751,-13.931251,-32.175003,-1.8322889,0.24663666,0.49922925,626,626,206
-3.6179478,-6.7429743,5.692525,14.043751,-9.150001,-32.8875,-0.95691967,-0.30802858,-0.2930624,626,626,206
-3.0412776,-6.960721,7.838887,14.212501,-4.89375,-36.09375,0.3197877,-0.69348425,-0.23258677,624,624,206
-2.9958138,-5.6733823,7.9561353,8.887501,-8.981251,-36.91875,2.4895794,-1.3733767,-4.58E-04,624,624,206
-2.7469604,-3.6634114,9.633504,5.3625,-18.581251,-33.787502,2.5696027,-1.4155264,0.7002038,624,624,206
-0.6269195,-0.36370903,9.875179,-0.41250002,-26.531252,-29.625002,1.9892812,-1.7942625,0.077121675,624,624,206
3.0963125,0.2536392,11.533405,-5.5875,-32.025,-23.25,1.5964952,-0.92011505,-0.38713557,624,624,206
2.2755744,-0.3397808,8.327023,-6.0937505,-33.075,-17.681252,-0.12614357,-0.47723812,-0.3901899,658,658,206
1.1844472,2.1343977,10.432707,-3.4875002,-32.5125,-17.00625,0.15790854,2.002262,0.44852746,658,658,206
-0.6723832,-0.1698904,11.263016,-2.7,-32.71875,-16.29375,-0.8610139,-1.4796672,0.38805184,710,710,206
1.6079768,0.567099,8.616554,-6.5625005,-32.475002,-17.4375,0.26725334,0.5752819,0.23472479,710,710,206
1.7419748,2.1463618,8.784052,-6.1125,-32.4,-16.237501,-0.22082762,0.21364996,0.22372922,726,726,206
1.727618,-0.6412765,9.899107,-5.6625004,-31.575,-17.362501,-0.883005,0.8287908,-2.0492985,726,726,206
-0.1363909,1.119841,10.100104,3.1875002,-29.85,-17.8125,-0.49082986,1.0554216,-2.3339617,726,726,206
-1.4045869,-1.1318051,10.762917,9.76875,-30.056252,-17.19375,0.62766355,0.47571096,-2.2203407,733,733,206
-1.0719845,-0.30867413,8.944371,17.737501,-27.525002,-13.9875,0.6985239,0.35964665,-2.173304,733,733,206
-1.1988041,-0.9236295,9.415757,23.175001,-24.075,-11.606251,-0.72356933,-0.34712392,-2.4524693,586,586,206
-1.4691931,-0.10289137,8.958728,29.175001,-15.95625,-12.168751,-0.39370236,0.51358455,-2.7426302,586,586,206
-2.0147567,-2.199004,9.999606,35.0625,-5.45625,-12.637501,0.47739083,-0.9854776,-2.6161811,526,526,206
-0.8805587,-1.713261,10.023534,34.96875,3.2062502,-15.918751,0.09010255,1.2851068,-3.2636979,526,526,206
-1.7778672,-3.1465619,11.904293,33.862503,17.550001,-13.9125,-0.5708531,0.15989386,-3.7566657,395,395,206
0.06460621,-1.538585,10.327422,27.16875,31.44375,-13.312501,0.40469792,0.14034618,-2.0211987,395,395,206
-0.60059845,-2.5555346,8.032705,20.90625,37.725002,-13.9875,-0.26419902,0.52885616,-3.3021822,232,232,206
-0.19860429,-0.72263247,9.4229355,7.3500004,43.050003,-13.575001,0.72356933,0.4054615,-2.6357288,232,232,206
-0.80877405,-0.46660042,9.190832,-6.3562503,42.487503,-17.643751,0.9312633,0.7035635,-3.0462298,232,232,206
-0.14356937,-0.30867413,9.066405,-16.556252,37.66875,-22.050001,1.1053598,-0.67454743,-2.0596833,232,232,206
0.021535404,-0.04546363,10.277173,-26.1375,29.925001,-25.800001,-0.2403753,-0.46196648,-2.7279694,353,353,206
