lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,ak09918_magnetometer.x,ak09918_magnetometer.y,ak09918_magnetometer.z,orientation.x,orientation.y,orientation.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z,tmd4912_light_cct.x,tmd4912_light_cct.y,tmd4912_light_cct.z
0.653,4.349,8.964,-39.12,-16.56,-18.66,99.65625,-23.390623,2.265625,-0.117245,0.011621,-0.104843,70,0,0
1.778,5.311,9.016,-39.18,-16.02,-18.66,99.984375,-27.734377,8.0625,-0.185013,0.109216,-0.203452,68,0,0
0.512,3.64,8.856,-39.719997,-16.859999,-18.9,98.34375,-30.125,9.078125,-0.079892,0.016752,-0.085937,68,0,0
1.187,5.139,8.997,-39.66,-16.02,-18.42,100.046875,-25.359377,2.015625,0.044086,-0.051339,0.029448,68,0,0
0.057,3.695,8.621,-39.899998,-15.96,-19.08,98.34375,-18.859377,-0.59375,0.0042,0.021615,0.020332,68,0,0
1.366,5.333,9.071,-39.719997,-15.839999,-19.199999,99.84375,-26.46875,7.125,-0.020018,0.028931,0.029538,68,0,0
0.344,3.822,8.839,-39.78,-15.299999,-18.9,98.328125,-24.359377,3.71875,-0.028345,0.02576,0.01374,68,0,0
0.756,4.119,8.787,-40.02,-15.599999,-18.6,98.234375,-25.015623,4.390625,-0.043693,0.023545,0.005984,68,0,0
0.888,4.167,8.87,-39.78,-15,-18.779999,97.875,-25.09375,5.09375,-5.96E-04,0.001586,0.024898,66,0,0
0.706,4.15,8.82,-40.079998,-14.639999,-18.96,96.921875,-25.203123,4.34375,0.023615,-0.037468,0.096609,66,0,0
0.691,4.186,8.868,-40.2,-15.12,-18.66,97.515625,-24.859377,3.96875,0.016069,-0.007536,0.069419,66,0,0
0.78,4.181,8.822,-39.78,-14.7,-18.6,97.03125,-25.203123,4.484375,0.015175,0.024189,0.0228,65,0,0
0.797,4.169,8.794,-39.78,-14.82,-18.96,96.625,-25.078123,4.5625,0.027162,0.014925,0.032192,65,0,0
0.727,4.219,8.822,-39.899998,-15.24,-18.6,97.18751,-25.484377,4.3125,0.026353,0.006973,0.034338,65,0,0
